timestamp,summary_values,boiler1_values,boiler2_values
2025-07-25 20:00:00,9.539 MPa 9.532 MPa 9.525 MPa 992.7 t/h 993.4 t/h,326.46 t/h 325.43 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.25,324.22 t/h  325.93 t/h 9.557 MPa 57.7 rpm 0.00 t/h 3.28
2025-07-25 20:00:02,9.539 MPa 9.532 MPa 9.525 MPa 992.8 t/h 993.3 t/h,326.49 t/h 325.48 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.26,324.24 t/h  325.72 t/h 9.557 MPa 57.7 rpm 0.00 t/h 3.30
2025-07-25 20:00:03,9.539 MPa 9.532 MPa 9.525 MPa 993.0 t/h 993.4 t/h,326.49 t/h 325.50 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.26,324.24 t/h  325.65 t/h 9.557 MPa 57.7 rpm 0.00 t/h 3.30
2025-07-25 20:00:05,9.539 MPa 9.529 MPa 9.525 MPa 994.3 t/h 993.5 t/h,327.05 t/h 325.52 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.27,324.80 t/h  325.53 t/h 9.546 MPa 57.7 rpm 0.00 t/h 3.31
2025-07-25 20:00:06,9.539 MPa 9.528 MPa 9.525 MPa 994.4 t/h 993.4 t/h,327.07 t/h 325.43 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.28,324.83 t/h  325.34 t/h 9.546 MPa 57.7 rpm 0.00 t/h 3.32
2025-07-25 20:00:08,9.539 MPa 9.529 MPa 9.525 MPa 994.3 t/h 993.0 t/h,327.08 t/h 325.35 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.28,324.83 t/h  325.22 t/h 9.546 MPa 57.7 rpm 0.00 t/h 3.33
2025-07-25 20:00:10,9.539 MPa 9.532 MPa 9.525 MPa 993.1 t/h 992.5 t/h,326.51 t/h 325.14 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.30,324.26 t/h  325.05 t/h 9.557 MPa 57.7 rpm 0.00 t/h 3.34
2025-07-25 20:00:11,9.539 MPa 9.532 MPa 9.525 MPa 993.1 t/h 992.3 t/h,326.51 t/h 325.01 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.30,324.82 t/h  324.93 t/h 9.545 MPa 57.7 rpm 0.00 t/h 3.35
2025-07-25 20:00:13,9.539 MPa 9.529 MPa 9.526 MPa 994.2 t/h 992.1 t/h,327.05 t/h 324.82 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.31,324.81 t/h  324.88 t/h 9.546 MPa 57.7 rpm 0.00 t/h 3.35
2025-07-25 20:00:15,9.539 MPa 9.529 MPa 9.526 MPa 994.5 t/h 992.1 t/h,327.08 t/h 324.69 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.33,324.84 t/h  324.92 t/h 9.546 MPa 57.7 rpm 0.00 t/h 3.36
2025-07-25 20:00:16,9.539 MPa 9.529 MPa 9.526 MPa 994.6 t/h 992.3 t/h,327.09 t/h 324.63 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.33,324.84 t/h  324.97 t/h 9.546 MPa 57.7 rpm 0.00 t/h 3.36
2025-07-25 20:00:18,9.539 MPa 9.529 MPa 9.526 MPa 994.8 t/h 992.4 t/h,327.09 t/h 324.55 t/h 9.481 MPa 43.3 rpm 0.00 t/h 3.34,324.84 t/h  325.06 t/h 9.546 MPa 57.7 rpm 0.00 t/h 3.38
