timestamp,summary_values,boiler1_values,boiler2_values
2025-07-27 02:00:01,"9.529 MPa 9.521 MPa 9.533 MPa 1,004.6 t/h 1,000.7 t/h",332.56 t/h 329.19 t/h 9.469 MPa 38.6 rpm 0.00 t/h 3.25,330.59 t/h  330.05 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.47
2025-07-27 02:00:02,"9.529 MPa 9.521 MPa 9.533 MPa 1,004.5 t/h 1,000.6 t/h",332.56 t/h 329.21 t/h 9.469 MPa 38.6 rpm 0.00 t/h 3.25,330.59 t/h  329.96 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.49
2025-07-27 02:00:04,"9.529 MPa 9.521 MPa 9.533 MPa 1,004.5 t/h 1,000.4 t/h",332.55 t/h 329.23 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.25,330.59 t/h  329.89 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.49
2025-07-27 02:00:06,"9.529 MPa 9.517 MPa 9.532 MPa 1,005.6 t/h 1,000.2 t/h",333.18 t/h 329.25 t/h 9.469 MPa 38.6 rpm 0.00 t/h 3.27,331.21 t/h  329.78 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.50
2025-07-27 02:00:07,"9.529 MPa 9.517 MPa 9.532 MPa 1,005.5 t/h 1,000.1 t/h",333.19 t/h 329.25 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.27,331.22 t/h  329.74 t/h 9.545 MPa 48.7 rpm 0.00 t/h mele)
2025-07-27 02:00:09,"9.529 MPa 9.517 MPa 9.532 MPa 1,005.6 t/h 1,000.0 t/h",333.19 t/h 329.26 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.28,331.24 t/h  329.50 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.01
2025-07-27 02:00:11,"9.529 MPa 9.516 MPa 9.531 MPa 1,006.1 t/h 1,000.3 t/h",333.25 t/h 329.45 t/h 9.469 MPa 38.6 rpm 0.00 t/h 3.28,331.28 t/h  329.33 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.02
2025-07-27 02:00:12,"9.529 MPa 9.517 MPa 9.531 MPa 1,006.0 t/h 1,000.3 t/h",333.22 t/h 329.52 t/h 9.469 MPa 38.6 rpm 0.00 t/h 3.30,331.25 t/h  329.26 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.03
2025-07-27 02:00:14,"9.529 MPa 9.517 MPa 9.531 MPa 1,006.1 t/h 1,000.4 t/h",333.20 t/h 329.58 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.30,331.25 t/h  329.16 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.03
2025-07-27 02:00:16,"9.529 MPa 9.517 MPa 9.530 MPa 1,006.1 t/h 1,000.5 t/h",333.24 t/h 329.81 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.31,331.27 t/h  329.09 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.04
2025-07-27 02:00:17,"9.529 MPa 9.517 MPa 9.530 MPa 1,006.1 t/h 1,000.6 t/h",333.23 t/h 329.92 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.31,331.26 t/h  329.06 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.05
2025-07-27 02:00:19,"9.529 MPa 9.517 MPa 9.530 MPa 1,006.1 t/h 1,000.7 t/h",333.23 t/h 330.02 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.33,331.26 t/h  329.04 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.06
2025-07-27 02:00:21,"9.529 MPa 9.517 MPa 9.529 MPa 1,006.6 t/h 1,001.4 t/h",333.24 t/h 330.23 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.34,331.27 t/h  329.00 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.07
2025-07-27 02:00:22,"9.529 MPa 9.517 MPa 9.529 MPa 1,006.8 t/h 1,001.5 t/h",333.24 t/h 330.28 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.35,331.27 t/h  328.99 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.07
2025-07-27 02:00:24,"9.529 MPa 9.517 MPa 9.528 MPa 1,006.8 t/h 1,001.5 t/h",333.27 t/h 330.32 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.35,331.30 t/h  328.98 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.08
2025-07-27 02:00:26,"9.529 MPa 9.517 MPa 9.528 MPa 1,006.7 t/h 1,001.5 t/h",333.29 t/h 330.40 t/h 9.470 MPa 38.6 rpm 0.00 t/h 3.36,331.32 t/h  329.22 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.10
2025-07-27 02:00:27,"9.529 MPa 9.517 MPa 9.527 MPa 1,006.8 t/h 1,001.7 t/h",333.32 t/h 330.31 t/h 9.469 MPa 38.6 rpm 0.00 t/h 3.37,331.35 t/h  329.27 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.10
2025-07-27 02:00:29,"9.529 MPa 9.517 MPa 9.527 MPa 1,006.8 t/h 1,001.7 t/h",333.31 t/h 330.23 t/h 9.469 MPa 38.6 rpm 0.00 t/h 3.37,331.35 t/h  329.31 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.11
2025-07-27 02:00:31,"9.529 MPa 9.517 MPa 9.527 MPa 1,006.8 t/h 1,001.8 t/h",333.36 t/h 330.08 t/h 9.469 MPa 38.6 rpm 0.00 t/h 3.38,331.39 t/h  329.67 t/h 9.545 MPa 48.7 rpm 0.00 t/h 3.12
