timestamp,summary_values,boiler1_values,boiler2_values
2025-07-26 01:00:00,"9.539 MPa 9.574 MPa 9.576 MPa 1,003.7 t/h 1,005.7 t/h",331.16 t/h 332.32 t/h 9.531 MPa 39.4 rpm -30.00 t/h 3.42,329.73 t/h 330.55 t/h 9.594 MPa 55.9 rpm -30.00 t/h 3.49
2025-07-26 01:00:02,"9.539 MPa 9.574 MPa 9.576 MPa 1,003.7 t/h 1,005.8 t/h",331.19 t/h 332.51 t/h 9.530 MPa 39.4 rpm -30.00 t/h 3.43,329.65 t/h 330.47 t/h 9.594 MPa 55.9 rpm -30.00 t/h 3.50
2025-07-26 01:00:04,"9.539 MPa 9.574 MPa 9.577 MPa 1,003.5 t/h 1,005.7 t/h",331.14 t/h 332.58 t/h 9.531 MPa 39.4 rpm -30.00 t/h 3.44,329.49 t/h 330.31 t/h 9.594 MPa 55.9 rpm -30.00 t/h 3.50
2025-07-26 01:00:05,"9.539 MPa 9.574 MPa 9.577 MPa 1,003.2 t/h 1,005.4 t/h",331.13 t/h 332.69 t/h 9.531 MPa 39.4 rpm 0.00 t/h 3.44,329.48 t/h  330.07 t/h 9.594 MPa 55.9 rpm 0.00 t/h 3.01
2025-07-26 01:00:07,"9.539 MPa 9.569 MPa 9.578 MPa 1,004.6 t/h 1,005.3 t/h",331.78 t/h 332.73 t/h 9.530 MPa 39.4 rpm 0.00 t/h 3.45,330.13 t/h  329.97 t/h 9.594 MPa 55.9 rpm 0.00 t/h 3.02
2025-07-26 01:00:08,"9.539 MPa 9.574 MPa 9.578 MPa 1,003.0 t/h 1,005.1 t/h",331.10 t/h 332.78 t/h 9.530 MPa 39.4 rpm 0.00 t/h 3.46,329.45 t/h  329.83 t/h 9.594 MPa 55.9 rpm 0.00 t/h 3.02
2025-07-26 01:00:10,"9.539 MPa 9.565 MPa 9.579 MPa 1,005.2 t/h 1,004.5 t/h",332.34 t/h 332.84 t/h 9.530 MPa 39.4 rpm 0.00 t/h 3.47,330.69 t/h  329.54 t/h 9.582 MPa 56.3 rpm 0.00 t/h 3.03
2025-07-26 01:00:12,"9.539 MPa 9.565 MPa 9.579 MPa 1,005.2 t/h 1,004.5 t/h",332.37 t/h 332.85 t/h 9.530 MPa 39.4 rpm 0.00 t/h 3.47,330.72 t/h  329.43 t/h 9.581 MPa 56.3 rpm 0.00 t/h 3.03
2025-07-26 01:00:13,"9.539 MPa 9.566 MPa 9.579 MPa 1,005.4 t/h 1,004.7 t/h",332.30 t/h 332.87 t/h 9.531 MPa 39.4 rpm 0.00 t/h 3.47,330.65 t/h  329.34 t/h 9.582 MPa 56.3 rpm 0.00 t/h 3.04
2025-07-26 01:00:15,"9.539 MPa 9.562 MPa 9.579 MPa 1,006.9 t/h 1,005.0 t/h",332.87 t/h 332.90 t/h 9.519 MPa 39.4 rpm 0.00 t/h 3.49,331.22 t/h  329.34 t/h 9.581 MPa 56.9 rpm 0.00 t/h 3.06
2025-07-26 01:00:17,"9.539 MPa 9.562 MPa 9.579 MPa 1,007.0 t/h 1,005.2 t/h",332.86 t/h 332.91 t/h 9.519 MPa 39.4 rpm 0.00 t/h 3.00,331.21 t/h  329.39 t/h 9.581 MPa 56.9 rpm 0.00 t/h 3.06
2025-07-26 01:00:18,"9.539 MPa 9.562 MPa 9.579 MPa 1,006.7 t/h 1,004.9 t/h",332.85 t/h 332.81 t/h 9.519 MPa 39.4 rpm 0.00 t/h 3.00,331.20 t/h  329.41 t/h 9.581 MPa 56.9 rpm 0.00 t/h 3.07
2025-07-26 01:00:20,"9.539 MPa 9.557 MPa 9.579 MPa 1,008.2 t/h 1,005.1 t/h",333.49 t/h 332.65 t/h 9.518 MPa 39.4 rpm 0.00 t/h 3.02,331.84 t/h  329.53 t/h 9.582 MPa 56.9 rpm 0.00 t/h 3.08
2025-07-26 01:00:22,"9.539 MPa 9.557 MPa 9.579 MPa 1,008.4 t/h 1,005.3 t/h",333.48 t/h 332.60 t/h 9.518 MPa 39.4 rpm 0.00 t/h 3.02,331.90 t/h  329.71 t/h 9.581 MPa 56.9 rpm 0.00 t/h 3.09
2025-07-26 01:00:23,"9.539 MPa 9.557 MPa 9.579 MPa 1,008.3 t/h 1,005.3 t/h",333.46 t/h 332.51 t/h 9.519 MPa 39.4 rpm 0.00 t/h 3.03,331.81 t/h  329.78 t/h 9.581 MPa 56.9 rpm 0.00 t/h 3.09
2025-07-26 01:00:25,"9.539 MPa 9.557 MPa 9.579 MPa 1,008.2 t/h 1,005.1 t/h",333.53 t/h 332.45 t/h 9.518 MPa 39.4 rpm 0.00 t/h 3.04,331.88 t/h  329.88 t/h 9.581 MPa 56.9 rpm 0.00 t/h 3.10
2025-07-26 01:00:27,"9.539 MPa 9.557 MPa 9.579 MPa 1,008.1 t/h 1,005.1 t/h",333.51 t/h 332.43 t/h 9.517 MPa 39.4 rpm 0.00 t/h 3.04,331.83 t/h  329.96 t/h 9.581 MPa 56.9 rpm 0.00 t/h 3.12
2025-07-26 01:00:28,"9.539 MPa 9.557 MPa 9.579 MPa 1,007.7 t/h 1,004.7 t/h",333.43 t/h 332.29 t/h 9.519 MPa 39.4 rpm 0.00 t/h 3.06,331.78 t/h  329.88 t/h 9.581 MPa 56.9 rpm 0.00 t/h 3.12
2025-07-26 01:00:30,"9.539 MPa 9.549 MPa 9.578 MPa 1,009.6 t/h 1,003.8 t/h",334.69 t/h 332.12 t/h 9.506 MPa 39.4 rpm 0.00 t/h 3.06,333.04 t/h  329.76 t/h 9.569 MPa 56.9 rpm 0.00 t/h 3.13
2025-07-26 01:00:31,"9.539 MPa 9.549 MPa 9.578 MPa 1,009.4 t/h 1,003.6 t/h",334.63 t/h 332.06 t/h 9.506 MPa 39.4 rpm 0.00 t/h 3.08,332.98 t/h  329.68 t/h 9.569 MPa 56.9 rpm 0.00 t/h 3.14
2025-07-26 01:00:33,"9.539 MPa 9.549 MPa 9.578 MPa 1,009.4 t/h 1,003.3 t/h",334.65 t/h 331.95 t/h 9.506 MPa 39.4 rpm 0.00 t/h 3.08,333.00 t/h  329.65 t/h 9.569 MPa 56.9 rpm 0.00 t/h 3.14
2025-07-26 01:00:35,"9.539 MPa 9.549 MPa 9.577 MPa 1,009.5 t/h 1,003.3 t/h",334.64 t/h 331.88 t/h 9.506 MPa 39.4 rpm 0.00 t/h 3.09,332.99 t/h  329.61 t/h 9.569 MPa 56.9 rpm 0.00 t/h 3.16
2025-07-26 01:00:36,"9.539 MPa 9.549 MPa 9.577 MPa 1,009.5 t/h 1,003.2 t/h",334.66 t/h 331.85 t/h 9.506 MPa 39.4 rpm 0.00 t/h 3.09,332.98 t/h  329.58 t/h 9.569 MPa 56.9 rpm 0.00 t/h 3.17
2025-07-26 01:00:38,"9.539 MPa 9.549 MPa 9.577 MPa 1,009.3 t/h 1,003.1 t/h",334.61 t/h 331.81 t/h 9.506 MPa 39.4 rpm 0.00 t/h 3.11,332.96 t/h  329.57 t/h 9.569 MPa 56.9 rpm 0.00 t/h 3.17
2025-07-26 01:00:40,"9.539 MPa 9.549 MPa 9.576 MPa 1,009.5 t/h 1,003.2 t/h",334.62 t/h 331.79 t/h 9.506 MPa 39.4 rpm 0.00 t/h 3.11,332.98 t/h  329.45 t/h 9.569 MPa 56.9 rpm 0.00 t/h 3.18
