timestamp,summary_values,boiler1_values,boiler2_values
2025-07-24 18:00:00,9.558 MPa 9.585 MPa 9.561 MPa 976.2 t/h 982.9 t/h,318.12 t/h 323.97 t/h 9.542 MPa 38.9 rpm 0.00 t/h 3.30,318.36 t/h  319.18 t/h 9.604 MPa 56.0 rpm 0.00 t/h 3.34
2025-07-24 18:00:01,9.558 MPa 9.584 MPa 9.562 MPa 975.8 t/h 982.4 t/h,318.13 t/h 324.03 t/h 9.542 MPa 38.9 rpm 0.00 t/h 3.31,318.37 t/h  319.05 t/h 9.603 MPa 56.0 rpm 0.00 t/h 3.34
2025-07-24 18:00:03,9.558 MPa 9.585 MPa 9.562 MPa 975.4 t/h 982.0 t/h,318.09 t/h 324.08 t/h 9.543 MPa 38.9 rpm 0.00 t/h 3.31,318.31 t/h  318.69 t/h 9.603 MPa 56.0 rpm 0.00 t/h 3.35
2025-07-24 18:00:05,9.558 MPa 9.585 MPa 9.563 MPa 975.7 t/h 982.1 t/h,318.07 t/h 324.18 t/h 9.542 MPa 38.9 rpm 0.00 t/h 3.33,318.31 t/h  318.55 t/h 9.603 MPa 56.0 rpm 0.00 t/h 3.36
2025-07-24 18:00:06,9.558 MPa 9.584 MPa 9.563 MPa 976.1 t/h 982.2 t/h,318.10 t/h 324.10 t/h 9.542 MPa 38.9 rpm 0.00 t/h 3.34,318.34 t/h  318.42 t/h 9.603 MPa 56.0 rpm 0.00 t/h 3.36
2025-07-24 18:00:08,9.558 MPa 9.584 MPa 9.563 MPa 976.3 t/h 982.3 t/h,318.07 t/h 324.03 t/h 9.542 MPa 38.9 rpm 0.00 t/h 3.35,318.31 t/h  318.32 t/h 9.603 MPa 56.0 rpm 0.00 t/h 3.36
2025-07-24 18:00:10,9.558 MPa 9.584 MPa 9.564 MPa 977.0 t/h 982.6 t/h,318.06 t/h 323.70 t/h 9.542 MPa 38.9 rpm 0.00 t/h 3.36,318.30 t/h  318.21 t/h 9.603 MPa 56.0 rpm 0.00 t/h 3.38
2025-07-24 18:00:11,9.558 MPa 9.584 MPa 9.564 MPa 977.3 t/h 982.8 t/h,318.05 t/h 323.60 t/h 9.542 MPa 38.9 rpm 0.00 t/h 3.36,318.29 t/h  318.24 t/h 9.603 MPa 56.0 rpm 0.00 t/h 3.39
2025-07-24 18:00:13,9.558 MPa 9.584 MPa 9.565 MPa 977.5 t/h 982.9 t/h,318.04 t/h 323.41 t/h 9.541 MPa 38.9 rpm 0.00 t/h 3.37,318.28 t/h  318.28 t/h 9.604 MPa 56.0 rpm 0.00 t/h 3.39
2025-07-24 18:00:15,9.558 MPa 9.585 MPa 9.565 MPa 977.7 t/h 982.8 t/h,318.57 t/h 322.65 t/h 9.529 MPa 38.9 rpm 0.00 t/h 3.38,318.81 t/h  318.45 t/h 9.604 MPa 56.0 rpm 0.00 t/h 3.41
2025-07-24 18:00:16,9.558 MPa 9.580 MPa 9.566 MPa 979.5 t/h 983.1 t/h,318.59 t/h 322.42 t/h 9.529 MPa 38.9 rpm 0.00 t/h 3.38,318.82 t/h  318.55 t/h 9.604 MPa 56.0 rpm 0.00 t/h 3.42
