timestamp,summary_values,boiler1_values,boiler2_values
2025-07-23 21:00:01,9.533 MPa 9.544 MPa 9.502 MPa 970.6 t/h 983.0 t/h,316.86 t/h  325.29 t/h 9.505 MPa 38.1 rpm 0.00 t/h 3.10,315.18 t/h  319.15 t/h 9.556 MPa 46.3 rpm 0.00 t/h 3.12
2025-07-23 21:00:04,9.533 MPa 9.544 MPa 9.503 MPa 970.9 t/h 983.1 t/h,316.86 t/h  324.91 t/h 9.505 MPa 38.1 rpm 0.00 t/h 3.11,315.17 t/h  319.16 t/h 9.556 MPa 46.3 rpm 0.00 t/h 3.12
2025-07-23 21:00:06,9.533 MPa 9.545 MPa 9.504 MPa 971.4 t/h 983.3 t/h,318.04 t/h  324.34 t/h 9.494 MPa 38.1 rpm 0.00 t/h 3.12,316.35 t/h  319.17 t/h 9.557 MPa 46.3 rpm 0.00 t/h 3.14
2025-07-23 21:00:08,9.533 MPa 9.536 MPa 9.505 MPa 974.3 t/h 983.3 t/h,318.05 t/h  324.14 t/h 9.494 MPa 38.1 rpm 0.00 t/h 3.13,316.35 t/h  319.17 t/h 9.556 MPa 46.3 rpm 0.00 t/h 3.14
2025-07-23 21:00:10,9.533 MPa 9.540 MPa 9.506 MPa 973.4 t/h 983.1 t/h,317.43 t/h  323.74 t/h 9.493 MPa 38.1 rpm 0.00 t/h 3.14,315.74 t/h  319.18 t/h 9.556 MPa 46.3 rpm 0.00 t/h 3.16
2025-07-23 21:00:13,9.533 MPa 9.536 MPa 9.507 MPa 975.2 t/h 983.0 t/h,318.07 t/h  323.24 t/h 9.493 MPa 38.1 rpm 0.00 t/h 3.16,316.38 t/h  319.00 t/h 9.556 MPa 46.3 rpm 0.00 t/h 3.17
2025-07-23 21:00:15,9.533 MPa 9.536 MPa 9.508 MPa 975.5 t/h 983.1 t/h,317.37 t/h  323.02 t/h 9.493 MPa 38.1 rpm 0.00 t/h 3.16,315.68 t/h  318.87 t/h 9.557 MPa 46.3 rpm 0.00 t/h 3.18
2025-07-23 21:00:17,9.533 MPa 9.541 MPa 9.509 MPa 974.6 t/h 983.0 t/h,317.43 t/h  322.58 t/h 9.493 MPa 38.1 rpm 0.00 t/h 3.17,315.74 t/h  318.75 t/h 9.556 MPa 46.3 rpm 0.00 t/h 3.20
2025-07-23 21:00:20,9.533 MPa 9.541 MPa 9.510 MPa 974.9 t/h 983.0 t/h,317.39 t/h  322.48 t/h 9.493 MPa 38.1 rpm 0.00 t/h 3.19,316.32 t/h  318.70 t/h 9.556 MPa 46.3 rpm 0.00 t/h 3.20
2025-07-23 21:00:22,9.533 MPa 9.541 MPa 9.512 MPa 975.2 t/h 982.8 t/h,317.37 t/h  321.95 t/h 9.494 MPa 38.1 rpm 0.00 t/h 3.20,315.68 t/h  318.65 t/h 9.556 MPa 46.3 rpm 0.00 t/h 3.22
2025-07-23 21:00:24,9.533 MPa 9.536 MPa 9.512 MPa 976.6 t/h 982.7 t/h,318.01 t/h  321.85 t/h 9.493 MPa 38.1 rpm 0.00 t/h 3.21,316.32 t/h  318.64 t/h 9.556 MPa 46.3 rpm 0.00 t/h 3.23
2025-07-23 21:00:27,9.533 MPa 9.541 MPa 9.514 MPa 975.8 t/h 982.9 t/h,317.36 t/h  321.53 t/h 9.493 MPa 38.1 rpm 0.00 t/h 3.22,315.67 t/h  318.62 t/h 9.557 MPa 46.3 rpm 0.00 t/h 3.24
2025-07-23 21:00:29,9.533 MPa 9.541 MPa 9.515 MPa 975.9 t/h 982.9 t/h,317.36 t/h 321.39 t/h 9.493 MPa 38.1 rpm -30.00 t/h 3.23,315.68 t/h 318.60 t/h 9.557 MPa 46.3 rpm -30.00 t/h 3.25
2025-07-23 21:00:32,9.533 MPa 9.541 MPa 9.516 MPa 976.7 t/h 983.4 t/h,317.38 t/h 321.18 t/h 9.494 MPa 38.1 rpm -30.00 t/h 3.24,315.69 t/h 318.59 t/h 9.556 MPa 46.3 rpm -30.00 t/h 3.25
2025-07-23 21:00:34,9.533 MPa 9.541 MPa 9.519 MPa 976.8 t/h 983.4 t/h,317.34 t/h 320.99 t/h 9.493 MPa 38.1 rpm -30.00 t/h 3.25,315.66 t/h 318.59 t/h 9.556 MPa 46.3 rpm -30.00 t/h 3.27
2025-07-23 21:00:36,9.533 MPa 9.541 MPa 9.519 MPa 976.8 t/h 983.4 t/h,317.36 t/h 321.09 t/h 9.493 MPa 38.1 rpm -30.00 t/h 3.27,315.67 t/h 318.59 t/h 9.556 MPa 46.3 rpm -30.00 t/h 3.28
2025-07-23 21:00:39,9.533 MPa 9.533 MPa 9.520 MPa 979.1 t/h 983.3 t/h,318.51 t/h 321.16 t/h 9.494 MPa 38.1 rpm -30.00 t/h 3.27,316.82 t/h 318.42 t/h 9.545 MPa 46.3 rpm -30.00 t/h 3.30
2025-07-23 21:00:41,9.533 MPa 9.533 MPa 9.521 MPa 978.8 t/h 983.1 t/h,318.51 t/h 321.19 t/h 9.494 MPa 38.1 rpm -30.00 t/h 3.28,316.84 t/h  318.13 t/h 9.545 MPa 46.3 rpm -30.00 t/h 3.31
2025-07-23 21:00:43,9.533 MPa 9.533 MPa 9.523 MPa 978.5 t/h 982.3 t/h,318.52 t/h 321.26 t/h 9.494 MPa 38.1 rpm -30.00 t/h 3.30,316.84 t/h  318.00 t/h 9.545 MPa 46.3 rpm -30.00 t/h 3.31
2025-07-23 21:00:45,9.533 MPa 9.533 MPa 9.524 MPa 978.4 t/h 982.2 t/h,318.51 t/h  321.27 t/h 9.494 MPa 38.1 rpm -30.00 t/h 3.31,316.83 t/h 317.80 t/h 9.545 MPa 46.3 rpm -30.00 t/h 3.32
2025-07-23 21:00:48,9.533 MPa 9.533 MPa 9.525 MPa 978.3 t/h 981.8 t/h,319.17 t/h 321.30 t/h 9.481 MPa 38.1 rpm -30.00 t/h 3.33,316.49 t/h 317.31 t/h 9.545 MPa 46.3 rpm -30.00 t/h 3.34
2025-07-23 21:00:50,9.533 MPa 9.529 MPa 9.526 MPa 978.6 t/h 981.6 t/h,319.16 t/h 321.31 t/h 9.481 MPa 38.2 rpm -30.00 t/h 3.33,316.31 t/h 317.13 t/h 9.545 MPa 46.3 rpm -30.00 t/h 3.35
2025-07-23 21:00:52,9.533 MPa 9.529 MPa 9.527 MPa 978.3 t/h 981.4 t/h,319.16 t/h 321.42 t/h 9.481 MPa 38.1 rpm -30.00 t/h 3.34,315.81 t/h 316.63 t/h 9.545 MPa 46.3 rpm -30.00 t/h 3.36
2025-07-23 21:00:54,9.533 MPa 9.528 MPa 9.527 MPa 978.1 t/h 981.4 t/h,319.16 t/h 321.59 t/h 9.481 MPa 38.1 rpm -30.00 t/h 3.36,315.81 t/h 316.63 t/h 9.545 MPa 46.3 rpm -30.00 t/h 3.36
2025-07-23 21:00:56,9.533 MPa 9.521 MPa 9.528 MPa 979.4 t/h 981.4 t/h,320.29 t/h  321.55 t/h 9.481 MPa 38.1 rpm 0.00 t/h 3.36,315.75 t/h  316.45 t/h 9.533 MPa 46.3 rpm 0.00 t/h 3.38
2025-07-23 21:00:59,9.533 MPa 9.521 MPa 9.528 MPa 979.4 t/h 981.3 t/h,320.28 t/h  321.68 t/h 9.481 MPa 38.1 rpm 0.00 t/h 3.38,315.79 t/h  316.19 t/h 9.532 MPa 46.3 rpm 0.00 t/h 3.39
2025-07-23 21:01:01,9.533 MPa 9.520 MPa 9.529 MPa 979.5 t/h 981.2 t/h,320.28 t/h  321.80 t/h 9.481 MPa 38.1 rpm 0.00 t/h 3.39,315.87 t/h  315.91 t/h 9.533 MPa 46.3 rpm 0.00 t/h 3.41
2025-07-23 21:01:03,9.533 MPa 9.521 MPa 9.529 MPa 979.3 t/h 981.0 t/h,320.10 t/h  321.83 t/h 9.482 MPa 38.1 rpm 0.00 t/h 3.39,316.04 t/h  315.80 t/h 9.532 MPa 46.3 rpm 0.00 t/h 3.42
