timestamp,summary_values,boiler1_values,boiler2_values
2025-07-27 22:00:00,9.504 MPa 9.512 MPa 9.507 MPa 970.2 t/h 968.8 t/h,311.40 t/h 312.00 t/h 9.456 MPa 39.1 rpm 0.00 t/h 3.08,313.72 t/h  311.63 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.16
2025-07-27 22:00:01,9.504 MPa 9.512 MPa 9.507 MPa 970.3 t/h 968.9 t/h,311.45 t/h 312.02 t/h 9.456 MPa 39.1 rpm 0.00 t/h 3.09,313.77 t/h  311.78 t/h 9.532 MPa 51.2 rpm 0.00 t/h 3.16
2025-07-27 22:00:03,9.504 MPa 9.512 MPa 9.507 MPa 970.2 t/h 969.0 t/h,311.45 t/h 312.05 t/h 9.456 MPa 39.1 rpm 0.00 t/h 3.09,313.69 t/h  312.19 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.17
2025-07-27 22:00:05,9.504 MPa 9.513 MPa 9.507 MPa 969.7 t/h 968.9 t/h,311.34 t/h 312.10 t/h 9.457 MPa 39.1 rpm 0.00 t/h 3.11,313.65 t/h  312.45 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.18
2025-07-27 22:00:06,9.504 MPa 9.516 MPa 9.507 MPa 968.2 t/h 969.0 t/h,310.82 t/h 312.11 t/h 9.456 MPa 39.1 rpm 0.00 t/h 3.11,313.13 t/h  312.67 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.18
2025-07-27 22:00:08,9.504 MPa 9.520 MPa 9.508 MPa 966.5 t/h 968.7 t/h,310.23 t/h 312.12 t/h 9.468 MPa 39.1 rpm 0.00 t/h 3.11,312.51 t/h  313.34 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.20
2025-07-27 22:00:10,9.504 MPa 9.520 MPa 9.508 MPa 965.6 t/h 968.4 t/h,310.19 t/h 312.13 t/h 9.468 MPa 39.1 rpm 0.00 t/h 3.13,312.51 t/h  313.34 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.20
2025-07-27 22:00:11,9.504 MPa 9.520 MPa 9.508 MPa 965.6 t/h 968.6 t/h,310.21 t/h 312.13 t/h 9.468 MPa 39.1 rpm 0.00 t/h 3.13,312.53 t/h  313.61 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.21
2025-07-27 22:00:13,9.504 MPa 9.524 MPa 9.508 MPa 964.2 t/h 968.7 t/h,309.59 t/h 312.13 t/h 9.468 MPa 39.1 rpm 0.00 t/h 3.14,311.91 t/h  313.85 t/h 9.545 MPa 51.2 rpm 0.00 t/h 3.21
2025-07-27 22:00:15,9.504 MPa 9.521 MPa 9.509 MPa 965.0 t/h 969.1 t/h,310.07 t/h 311.96 t/h 9.469 MPa 39.1 rpm 0.00 t/h 3.16,312.39 t/h  314.84 t/h 9.545 MPa 51.2 rpm 0.00 t/h 3.23
2025-07-27 22:00:16,9.504 MPa 9.517 MPa 9.509 MPa 965.9 t/h 969.2 t/h,310.71 t/h 311.89 t/h 9.457 MPa 39.1 rpm 0.00 t/h 3.16,313.02 t/h  315.16 t/h 9.545 MPa 51.2 rpm 0.00 t/h 3.23
2025-07-27 22:00:18,9.504 MPa 9.517 MPa 9.510 MPa 965.7 t/h 969.3 t/h,310.70 t/h 311.84 t/h 9.457 MPa 39.1 rpm 0.00 t/h 3.16,313.02 t/h  315.43 t/h 9.545 MPa 51.2 rpm 0.00 t/h 3.24
2025-07-27 22:00:20,9.504 MPa 9.512 MPa 9.510 MPa 966.7 t/h 969.3 t/h,311.37 t/h 311.53 t/h 9.456 MPa 39.1 rpm 0.00 t/h 3.17,313.69 t/h  316.19 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.25
2025-07-27 22:00:21,9.504 MPa 9.513 MPa 9.510 MPa 966.1 t/h 969.1 t/h,311.28 t/h 311.25 t/h 9.457 MPa 39.1 rpm 0.00 t/h 3.19,313.59 t/h  316.56 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.26
2025-07-27 22:00:23,9.504 MPa 9.512 MPa 9.511 MPa 966.1 t/h 968.9 t/h,311.31 t/h 311.10 t/h 9.457 MPa 39.1 rpm 0.00 t/h 3.19,313.62 t/h  316.70 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.27
2025-07-27 22:00:25,9.504 MPa 9.512 MPa 9.511 MPa 965.8 t/h 968.4 t/h,311.37 t/h 310.75 t/h 9.456 MPa 39.1 rpm 0.00 t/h 3.20,313.58 t/h  317.00 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.28
2025-07-27 22:00:26,9.504 MPa 9.512 MPa 9.511 MPa 965.5 t/h 968.1 t/h,311.29 t/h 310.43 t/h 9.457 MPa 39.1 rpm 0.00 t/h 3.22,313.61 t/h  317.07 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.28
2025-07-27 22:00:28,9.504 MPa 9.512 MPa 9.511 MPa 965.5 t/h 967.9 t/h,311.29 t/h 310.20 t/h 9.457 MPa 39.1 rpm 0.00 t/h 3.22,313.61 t/h  317.12 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.29
2025-07-27 22:00:30,9.504 MPa 9.513 MPa 9.511 MPa 965.3 t/h 967.5 t/h,311.27 t/h 309.87 t/h 9.456 MPa 39.1 rpm 0.00 t/h 3.22,313.58 t/h  317.14 t/h 9.533 MPa 51.2 rpm 0.00 t/h 3.31
