timestamp,summary_values,boiler1_values,boiler2_values
2025-07-26 22:00:00,"9.529 MPa 9.508 MPa 9.514 MPa 1,014.8 t/h 1,013.8 t/h",334.91 t/h 335.71 t/h 9.469 MPa 41.2 rpm 0.00 t/h 3.19,336.15 t/h  334.43 t/h 9.532 MPa 51.3 rpm 0.00 t/h 3.48
2025-07-26 22:00:02,"9.529 MPa 9.508 MPa 9.514 MPa 1,014.9 t/h 1,014.1 t/h",334.88 t/h 335.76 t/h 9.470 MPa 41.2 rpm 0.00 t/h 3.19,336.12 t/h  334.43 t/h 9.533 MPa 51.3 rpm 0.00 t/h 3.49
2025-07-26 22:00:03,"9.529 MPa 9.508 MPa 9.514 MPa 1,015.0 t/h 1,014.0 t/h",334.89 t/h 335.66 t/h 9.470 MPa 41.2 rpm 0.00 t/h 3.21,336.13 t/h  334.42 t/h 9.532 MPa 51.3 rpm 0.00 t/h 3.50
2025-07-26 22:00:05,"9.529 MPa 9.508 MPa 9.513 MPa 1,014.9 t/h 1,013.9 t/h",334.88 t/h 335.62 t/h 9.470 MPa 41.2 rpm 0.00 t/h 3.21,336.12 t/h  334.42 t/h 9.533 MPa 51.3 rpm 0.00 t/h 3.50
2025-07-26 22:00:07,"9.529 MPa 9.512 MPa 9.513 MPa 1,013.5 t/h 1,013.6 t/h",334.31 t/h 335.37 t/h 9.469 MPa 41.2 rpm 0.00 t/h 3.22,335.55 t/h  334.60 t/h 9.532 MPa 51.3 rpm 0.00 t/h 3.01
2025-07-26 22:00:08,"9.529 MPa 9.509 MPa 9.513 MPa 1,014.6 t/h 1,013.5 t/h",334.88 t/h 335.10 t/h 9.470 MPa 41.2 rpm 0.00 t/h 3.24,336.12 t/h  334.84 t/h 9.533 MPa 51.3 rpm 0.00 t/h 3.02
2025-07-26 22:00:10,"9.529 MPa 9.509 MPa 9.513 MPa 1,014.7 t/h 1,013.6 t/h",334.90 t/h 334.95 t/h 9.470 MPa 41.2 rpm 0.00 t/h 3.24,336.14 t/h  334.97 t/h 9.533 MPa 51.3 rpm 0.00 t/h 3.02
2025-07-26 22:00:12,"9.529 MPa 9.508 MPa 9.513 MPa 1,014.9 t/h 1,013.6 t/h",334.95 t/h 334.62 t/h 9.470 MPa 41.2 rpm 0.00 t/h 3.25,336.19 t/h  335.28 t/h 9.533 MPa 51.3 rpm 0.00 t/h 3.03
2025-07-26 22:00:13,"9.529 MPa 9.504 MPa 9.513 MPa 1,016.1 t/h 1,013.5 t/h",335.64 t/h 334.30 t/h 9.457 MPa 41.2 rpm 0.00 t/h 3.25,336.88 t/h  335.57 t/h 9.532 MPa 51.3 rpm 0.00 t/h 3.05
2025-07-26 22:00:15,"9.529 MPa 9.504 MPa 9.513 MPa 1,016.1 t/h 1,013.5 t/h",335.64 t/h 334.30 t/h 9.457 MPa 41.2 rpm 0.00 t/h 3.25,336.89 t/h  335.78 t/h 9.532 MPa 51.3 rpm 0.00 t/h 3.05
2025-07-26 22:00:17,"9.529 MPa 9.504 MPa 9.513 MPa 1,016.0 t/h 1,013.5 t/h",335.58 t/h 333.89 t/h 9.457 MPa 41.2 rpm 0.00 t/h 3.27,336.82 t/h  335.96 t/h 9.533 MPa 51.3 rpm 0.00 t/h 3.05
2025-07-26 22:00:18,"9.529 MPa 9.504 MPa 9.513 MPa 1,016.1 t/h 1,013.5 t/h",335.64 t/h 333.50 t/h 9.457 MPa 41.2 rpm 0.00 t/h 3.28,336.88 t/h  336.42 t/h 9.532 MPa 51.3 rpm 0.00 t/h 3.07
2025-07-26 22:00:20,"9.529 MPa 9.504 MPa 9.513 MPa 1,016.4 t/h 1,013.6 t/h",335.72 t/h 333.31 t/h 9.457 MPa 41.2 rpm 0.00 t/h 3.28,336.96 t/h  336.58 t/h 9.532 MPa 51.3 rpm 0.00 t/h 3.07
2025-07-26 22:00:22,"9.529 MPa 9.509 MPa 9.513 MPa 1,015.2 t/h 1,014.1 t/h",334.96 t/h 333.01 t/h 9.458 MPa 41.2 rpm 0.00 t/h 3.30,336.20 t/h  337.05 t/h 9.533 MPa 51.3 rpm 0.00 t/h 3.08
2025-07-26 22:00:23,"9.529 MPa 9.508 MPa 9.512 MPa 1,015.8 t/h 1,014.4 t/h",335.05 t/h 332.63 t/h 9.457 MPa 41.2 rpm 0.00 t/h 3.30,336.29 t/h  337.37 t/h 9.532 MPa 51.3 rpm 0.00 t/h 3.09
2025-07-26 22:00:25,"9.529 MPa 9.508 MPa 9.512 MPa 1,016.0 t/h 1,014.6 t/h",335.07 t/h 332.48 t/h 9.457 MPa 41.2 rpm 0.00 t/h 3.31,336.31 t/h  337.49 t/h 9.532 MPa 51.3 rpm 0.00 t/h 3.09
2025-07-26 22:00:27,"9.529 MPa 9.513 MPa 9.512 MPa 1,014.7 t/h 1,014.8 t/h",334.38 t/h 332.16 t/h 9.458 MPa 41.2 rpm 0.00 t/h 3.32,335.62 t/h  337.85 t/h 9.545 MPa 51.3 rpm 0.00 t/h 3.11
2025-07-26 22:00:28,"9.529 MPa 9.513 MPa 9.512 MPa 1,015.0 t/h 1,014.8 t/h",334.41 t/h 331.84 t/h 9.457 MPa 41.2 rpm 0.00 t/h 3.33,335.65 t/h  338.10 t/h 9.546 MPa 51.3 rpm 0.00 t/h 3.12
2025-07-26 22:00:30,"9.529 MPa 9.513 MPa 9.512 MPa 1,015.0 t/h 1,014.8 t/h",334.41 t/h 331.84 t/h 9.457 MPa 41.2 rpm 0.00 t/h 3.33,335.65 t/h  338.10 t/h 9.546 MPa 51.3 rpm 0.00 t/h 3.12
2025-07-26 22:00:31,"9.529 MPa 9.513 MPa 9.512 MPa 1,014.9 t/h 1,014.9 t/h",334.42 t/h 331.63 t/h 9.457 MPa 41.2 rpm 0.00 t/h 3.33,335.70 t/h  338.73 t/h 9.545 MPa 51.3 rpm 0.00 t/h 3.13
2025-07-26 22:00:33,"9.529 MPa 9.517 MPa 9.512 MPa 1,013.2 t/h 1,014.6 t/h",333.81 t/h 331.43 t/h 9.470 MPa 41.2 rpm 0.00 t/h 3.35,335.05 t/h  338.82 t/h 9.546 MPa 51.3 rpm 0.00 t/h 3.14
2025-07-26 22:00:35,"9.529 MPa 9.517 MPa 9.512 MPa 1,013.1 t/h 1,014.5 t/h",333.85 t/h 331.37 t/h 9.469 MPa 41.2 rpm 0.00 t/h 3.36,335.09 t/h  338.90 t/h 9.545 MPa 51.3 rpm 0.00 t/h 3.14
2025-07-26 22:00:36,"9.529 MPa 9.517 MPa 9.513 MPa 1,013.0 t/h 1,014.4 t/h",333.85 t/h 331.33 t/h 9.469 MPa 41.2 rpm 0.00 t/h 3.36,335.14 t/h  338.97 t/h 9.545 MPa 51.3 rpm 0.00 t/h 3.16
2025-07-26 22:00:38,"9.529 MPa 9.517 MPa 9.513 MPa 1,013.0 t/h 1,014.5 t/h",333.88 t/h 331.50 t/h 9.469 MPa 41.2 rpm 0.00 t/h 3.38,335.12 t/h  338.92 t/h 9.546 MPa 51.3 rpm 0.00 t/h 3.16
2025-07-26 22:00:40,"9.529 MPa 9.512 MPa 9.513 MPa 1,014.4 t/h 1,014.5 t/h",334.53 t/h 331.55 t/h 9.469 MPa 41.2 rpm 0.00 t/h 3.38,335.77 t/h  338.89 t/h 9.545 MPa 51.3 rpm 0.00 t/h 3.17
