timestamp,summary_values,boiler1_values,boiler2_values
2025-07-29 00:00:01,"9.521 MPa 9.532 MPa 9.552 MPa 1,019.5 t/h 1,013.5 t/h",329.62 t/h 325.78 t/h 9.481 MPa 41.1 rpm 0.00 t/h 3.31,329.62 t/h  327.51 t/h 9.557 MPa 57.5 rpm 0.00 t/h 3.09
2025-07-29 00:00:03,"9.521 MPa 9.536 MPa 9.552 MPa 1,018.5 t/h 1,014.0 t/h",329.00 t/h 325.84 t/h 9.481 MPa 41.1 rpm 0.00 t/h 3.32,328.96 t/h  327.80 t/h 9.556 MPa 57.5 rpm 0.00 t/h 3.10
2025-07-29 00:00:04,"9.521 MPa 9.536 MPa 9.552 MPa 1,019.4 t/h 1,015.5 t/h",328.97 t/h 325.95 t/h 9.481 MPa 41.1 rpm 0.00 t/h 3.34,328.95 t/h  328.10 t/h 9.556 MPa 48.1 rpm 0.00 t/h 3.12
2025-07-29 00:00:06,"9.521 MPa 9.536 MPa 9.551 MPa 1,018.9 t/h 1,015.2 t/h",328.97 t/h 326.08 t/h 9.481 MPa 41.1 rpm 0.00 t/h 3.34,328.95 t/h  328.21 t/h 9.556 MPa 48.1 rpm 0.00 t/h 3.12
2025-07-29 00:00:08,"9.521 MPa 9.536 MPa 9.551 MPa 1,018.5 t/h 1,015.0 t/h",329.00 t/h 326.18 t/h 9.481 MPa 41.1 rpm 0.00 t/h 3.34,329.03 t/h  328.37 t/h 9.556 MPa 48.1 rpm 0.00 t/h 3.12
2025-07-29 00:00:09,"9.521 MPa 9.536 MPa 9.551 MPa 1,017.5 t/h 1,014.4 t/h",328.99 t/h 326.35 t/h 9.481 MPa 41.1 rpm 0.00 t/h 3.36,328.96 t/h  328.44 t/h 9.556 MPa 48.1 rpm 0.00 t/h 3.14
2025-07-29 00:00:11,"9.521 MPa 9.536 MPa 9.551 MPa 1,017.6 t/h 1,014.8 t/h",328.97 t/h 326.55 t/h 9.481 MPa 41.1 rpm 0.00 t/h 3.37,328.94 t/h  328.53 t/h 9.556 MPa 48.1 rpm 0.00 t/h 3.14
2025-07-29 00:00:13,"9.521 MPa 9.536 MPa 9.551 MPa 1,017.6 t/h 1,014.8 t/h",328.96 t/h 326.78 t/h 9.480 MPa 41.1 rpm 0.00 t/h 3.37,328.94 t/h  328.60 t/h 9.556 MPa 48.1 rpm 0.00 t/h 3.15
2025-07-29 00:00:15,"9.521 MPa 9.536 MPa 9.551 MPa 1,017.7 t/h 1,015.1 t/h",328.99 t/h 326.87 t/h 9.481 MPa 41.1 rpm 0.00 t/h 3.38,328.96 t/h  328.52 t/h 9.556 MPa 48.1 rpm 0.00 t/h 3.16
2025-07-29 00:00:16,"9.521 MPa 9.536 MPa 9.551 MPa 1,017.5 t/h 1,015.1 t/h",328.99 t/h 327.05 t/h 9.481 MPa 41.1 rpm 0.00 t/h 3.38,328.92 t/h  328.41 t/h 9.556 MPa 48.1 rpm 0.00 t/h 3.17
