timestamp,summary_values,boiler1_values,boiler2_values
2025-07-25 09:00:00,"9.499 MPa 9.517 MPa 9.522 MPa 1,005.1 t/h 1,006.6 t/h",331.16 t/h 330.16 t/h 9.470 MPa 39.6 rpm 0.00 t/h 3.31,328.93 t/h  331.42 t/h 9.545 MPa 57.6 rpm 0.00 t/h 3.41
2025-07-25 09:00:02,"9.499 MPa 9.517 MPa 9.523 MPa 1,005.0 t/h 1,006.4 t/h",331.14 t/h 330.03 t/h 9.470 MPa 39.6 rpm 0.00 t/h 3.32,328.90 t/h  331.42 t/h 9.545 MPa 57.6 rpm 0.00 t/h 3.41
2025-07-25 09:00:03,"9.499 MPa 9.513 MPa 9.523 MPa 1,006.3 t/h 1,006.3 t/h",331.74 t/h 329.82 t/h 9.470 MPa 39.6 rpm 0.00 t/h 3.33,329.50 t/h  331.41 t/h 9.532 MPa 57.6 rpm 0.00 t/h 3.42
2025-07-25 09:00:05,"9.499 MPa 9.513 MPa 9.523 MPa 1,006.3 t/h 1,006.2 t/h",331.71 t/h 329.68 t/h 9.470 MPa 39.6 rpm 0.00 t/h 3.33,329.47 t/h  331.42 t/h 9.533 MPa 57.6 rpm 0.00 t/h 3.44
2025-07-25 09:00:07,"9.499 MPa 9.513 MPa 9.523 MPa 1,005.9 t/h 1,005.8 t/h",331.70 t/h 329.62 t/h 9.470 MPa 39.6 rpm 0.00 t/h 3.34,329.46 t/h  331.42 t/h 9.533 MPa 57.6 rpm 0.00 t/h 3.44
2025-07-25 09:00:08,"9.499 MPa 9.513 MPa 9.523 MPa 1,006.5 t/h 1,006.3 t/h",331.68 t/h 329.54 t/h 9.470 MPa 39.6 rpm 0.00 t/h 3.35,329.45 t/h  331.41 t/h 9.533 MPa 57.6 rpm 0.00 t/h 3.45
2025-07-25 09:00:10,"9.499 MPa 9.508 MPa 9.523 MPa 1,008.2 t/h 1,006.3 t/h",332.37 t/h 329.46 t/h 9.457 MPa 39.6 rpm 0.00 t/h 3.36,330.14 t/h  331.15 t/h 9.533 MPa 57.6 rpm 0.00 t/h 3.47
2025-07-25 09:00:12,"9.499 MPa 9.508 MPa 9.522 MPa 1,008.2 t/h 1,006.1 t/h",332.35 t/h 329.44 t/h 9.457 MPa 39.6 rpm 0.00 t/h 3.38,330.12 t/h  330.99 t/h 9.532 MPa 57.6 rpm 0.00 t/h 3.47
2025-07-25 09:00:13,"9.499 MPa 9.508 MPa 9.522 MPa 1,008.2 t/h 1,006.0 t/h",332.33 t/h 329.41 t/h 9.457 MPa 39.6 rpm 0.00 t/h 3.38,330.09 t/h  330.65 t/h 9.533 MPa 57.6 rpm 0.00 t/h 3.48
2025-07-25 09:00:15,"9.499 MPa 9.508 MPa 9.522 MPa 1,008.3 t/h 1,005.9 t/h",332.32 t/h 329.39 t/h 9.458 MPa 39.6 rpm 0.00 t/h 3.39,330.09 t/h  330.57 t/h 9.532 MPa 57.6 rpm 0.00 t/h 3.49
2025-07-25 09:00:17,"9.499 MPa 9.509 MPa 9.522 MPa 1,008.3 t/h 1,005.8 t/h",332.31 t/h 329.38 t/h 9.458 MPa 39.6 rpm 0.00 t/h 3.39,330.08 t/h  330.50 t/h 9.532 MPa 57.6 rpm 0.00 t/h 3.50
2025-07-25 09:00:18,"9.499 MPa 9.504 MPa 9.522 MPa 1,009.5 t/h 1,005.8 t/h",332.92 t/h 329.55 t/h 9.458 MPa 39.6 rpm 0.00 t/h 3.41,331.30 t/h  330.29 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.01
2025-07-25 09:00:20,"9.499 MPa 9.504 MPa 9.522 MPa 1,009.4 t/h 1,005.9 t/h",332.91 t/h 329.77 t/h 9.457 MPa 39.1 rpm 0.00 t/h 3.42,330.68 t/h  330.27 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.01
2025-07-25 09:00:22,"9.499 MPa 9.504 MPa 9.522 MPa 1,009.4 t/h 1,006.0 t/h",332.91 t/h 329.90 t/h 9.457 MPa 39.1 rpm 0.00 t/h 3.42,330.68 t/h  330.25 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.02
2025-07-25 09:00:24,"9.499 MPa 9.500 MPa 9.522 MPa 1,011.1 t/h 1,006.5 t/h",333.58 t/h 330.10 t/h 9.458 MPa 39.1 rpm 0.00 t/h 3.44,331.35 t/h  330.21 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.03
2025-07-25 09:00:25,"9.499 MPa 9.500 MPa 9.521 MPa 1,011.1 t/h 1,006.9 t/h",333.55 t/h 330.34 t/h 9.457 MPa 38.5 rpm 0.00 t/h 3.44,331.31 t/h  330.31 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.04
2025-07-25 09:00:27,"9.499 MPa 9.500 MPa 9.521 MPa 1,011.3 t/h 1,007.5 t/h",333.58 t/h 330.58 t/h 9.457 MPa 38.5 rpm 0.00 t/h 3.44,331.35 t/h  330.49 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.04
2025-07-25 09:00:29,"9.499 MPa 9.500 MPa 9.521 MPa 1,011.4 t/h 1,008.4 t/h",333.53 t/h 331.10 t/h 9.458 MPa 38.3 rpm 0.00 t/h 3.46,331.30 t/h  331.06 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.06
2025-07-25 09:00:30,"9.499 MPa 9.500 MPa 9.520 MPa 1,011.4 t/h 1,009.0 t/h",333.54 t/h 331.21 t/h 9.458 MPa 38.0 rpm 0.00 t/h 3.47,331.31 t/h  331.22 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.07
2025-07-25 09:00:32,"9.499 MPa 9.501 MPa 9.520 MPa 1,011.3 t/h 1,009.3 t/h",333.49 t/h 331.41 t/h 9.458 MPa 38.0 rpm 0.00 t/h 3.47,331.26 t/h  331.35 t/h 9.521 MPa 57.6 rpm 0.00 t/h 3.07
2025-07-25 09:00:34,"9.499 MPa 9.500 MPa 9.520 MPa 1,011.6 t/h 1,010.0 t/h",333.57 t/h 331.93 t/h 9.457 MPa 37.9 rpm 0.00 t/h 3.49,331.34 t/h  331.82 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.08
2025-07-25 09:00:35,"9.499 MPa 9.500 MPa 9.519 MPa 1,011.5 t/h 1,010.7 t/h",333.57 t/h 332.11 t/h 9.457 MPa 37.8 rpm 0.00 t/h 3.49,331.34 t/h  331.95 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.09
2025-07-25 09:00:37,"9.499 MPa 9.496 MPa 9.519 MPa 1,012.5 t/h 1,010.8 t/h",334.13 t/h 332.26 t/h 9.457 MPa 37.7 rpm 0.00 t/h 3.49,331.89 t/h  332.07 t/h 9.521 MPa 57.6 rpm 0.00 t/h 3.10
2025-07-25 09:00:39,"9.499 MPa 9.496 MPa 9.519 MPa 1,012.4 t/h 1,011.1 t/h",334.16 t/h 332.49 t/h 9.457 MPa 37.7 rpm 0.00 t/h 3.50,331.93 t/h  332.24 t/h 9.520 MPa 57.6 rpm 0.00 t/h 3.10
2025-07-25 09:00:40,"9.499 MPa 9.488 MPa 9.518 MPa 1,014.6 t/h 1,011.3 t/h",335.40 t/h 332.76 t/h 9.446 MPa 37.7 rpm 0.00 t/h 3.00,333.17 t/h  332.54 t/h 9.507 MPa 57.6 rpm 0.00 t/h 3.11
2025-07-25 09:00:42,"9.499 MPa 9.488 MPa 9.518 MPa 1,014.6 t/h 1,011.3 t/h",335.40 t/h 332.76 t/h 9.446 MPa 37.7 rpm 0.00 t/h 3.00,333.17 t/h  332.54 t/h 9.507 MPa 57.6 rpm 0.00 t/h 3.11
2025-07-25 09:00:44,"9.499 MPa 9.488 MPa 9.517 MPa 1,014.2 t/h 1,011.5 t/h",335.45 t/h 333.21 t/h 9.445 MPa 37.8 rpm 0.00 t/h 3.03,333.22 t/h  332.90 t/h 9.507 MPa 57.6 rpm 0.00 t/h 3.13
2025-07-25 09:00:46,"9.499 MPa 9.488 MPa 9.517 MPa 1,014.1 t/h 1,011.5 t/h",335.45 t/h 333.21 t/h 9.445 MPa 37.8 rpm 0.00 t/h 3.03,333.22 t/h  332.90 t/h 9.507 MPa 57.6 rpm 0.00 t/h 3.13
2025-07-25 09:00:47,"9.499 MPa 9.488 MPa 9.516 MPa 1,013.7 t/h 1,011.3 t/h",335.43 t/h 333.28 t/h 9.446 MPa 37.8 rpm 0.00 t/h 3.04,333.20 t/h  332.96 t/h 9.507 MPa 57.6 rpm 0.00 t/h 3.13
2025-07-25 09:00:49,"9.499 MPa 9.488 MPa 9.516 MPa 1,013.5 t/h 1,011.2 t/h",335.44 t/h 333.53 t/h 9.445 MPa 37.7 rpm 0.00 t/h 3.05,333.21 t/h  332.88 t/h 9.507 MPa 57.6 rpm 0.00 t/h 3.15
2025-07-25 09:00:51,"9.499 MPa 9.488 MPa 9.516 MPa 1,013.3 t/h 1,011.1 t/h",335.44 t/h 333.53 t/h 9.445 MPa 37.7 rpm 0.00 t/h 3.05,333.21 t/h  332.88 t/h 9.507 MPa 57.6 rpm 0.00 t/h 3.15
2025-07-25 09:00:52,"9.499 MPa 9.488 MPa 9.515 MPa 1,013.4 t/h 1,011.2 t/h",335.45 t/h 333.65 t/h 9.445 MPa 38.0 rpm 0.00 t/h 3.05,333.22 t/h  332.84 t/h 9.507 MPa 57.6 rpm 0.00 t/h 3.16
2025-07-25 09:00:54,"9.499 MPa 9.488 MPa 9.515 MPa 1,013.4 t/h 1,011.7 t/h",335.39 t/h 333.91 t/h 9.446 MPa 38.0 rpm 0.00 t/h 3.07,333.16 t/h  333.01 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.17
2025-07-25 09:00:56,"9.499 MPa 9.488 MPa 9.514 MPa 1,013.9 t/h 1,012.2 t/h",335.44 t/h 333.96 t/h 9.445 MPa 38.0 rpm 0.00 t/h 3.08,333.21 t/h  333.05 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.17
2025-07-25 09:00:57,"9.499 MPa 9.488 MPa 9.514 MPa 1,014.1 t/h 1,012.6 t/h",335.43 t/h 334.11 t/h 9.446 MPa 38.0 rpm 0.00 t/h 3.08,333.20 t/h  333.08 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.18
2025-07-25 09:00:59,"9.499 MPa 9.484 MPa 9.513 MPa 1,015.7 t/h 1,013.3 t/h",336.08 t/h 334.42 t/h 9.445 MPa 38.1 rpm 0.00 t/h 3.09,333.85 t/h  333.14 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.20
2025-07-25 09:01:01,"9.499 MPa 9.488 MPa 9.512 MPa 1,014.6 t/h 1,013.6 t/h",335.46 t/h 334.49 t/h 9.445 MPa 38.1 rpm 0.00 t/h 3.10,333.23 t/h  333.15 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.21
2025-07-25 09:01:02,"9.499 MPa 9.488 MPa 9.512 MPa 1,014.5 t/h 1,013.6 t/h",335.44 t/h 334.56 t/h 9.446 MPa 38.1 rpm 0.00 t/h 3.11,333.21 t/h  333.17 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.21
2025-07-25 09:01:04,"9.499 MPa 9.488 MPa 9.511 MPa 1,014.4 t/h 1,013.5 t/h",335.48 t/h 334.65 t/h 9.445 MPa 38.3 rpm 0.00 t/h 3.11,333.24 t/h  333.20 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.22
2025-07-25 09:01:06,"9.499 MPa 9.488 MPa 9.511 MPa 1,014.1 t/h 1,013.3 t/h",335.47 t/h 334.70 t/h 9.446 MPa 38.3 rpm 0.00 t/h 3.13,333.24 t/h  333.20 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.23
2025-07-25 09:01:07,"9.499 MPa 9.488 MPa 9.511 MPa 1,014.0 t/h 1,013.2 t/h",335.46 t/h 334.72 t/h 9.446 MPa 38.3 rpm 0.00 t/h 3.13,333.23 t/h  333.21 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.23
2025-07-25 09:01:09,"9.499 MPa 9.484 MPa 9.510 MPa 1,014.8 t/h 1,013.1 t/h",336.06 t/h 334.95 t/h 9.446 MPa 38.3 rpm 0.00 t/h 3.14,333.27 t/h  333.21 t/h 9.507 MPa 57.6 rpm 0.00 t/h 3.24
2025-07-25 09:01:11,"9.499 MPa 9.488 MPa 9.509 MPa 1,013.4 t/h 1,013.1 t/h",335.50 t/h 335.10 t/h 9.446 MPa 38.1 rpm 0.00 t/h 3.14,333.27 t/h  333.32 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.25
2025-07-25 09:01:12,"9.499 MPa 9.488 MPa 9.509 MPa 1,013.3 t/h 1,013.1 t/h",335.50 t/h 335.16 t/h 9.446 MPa 38.1 rpm 0.00 t/h 3.16,333.27 t/h  333.41 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.25
2025-07-25 09:01:14,"9.499 MPa 9.484 MPa 9.508 MPa 1,014.2 t/h 1,013.0 t/h",335.54 t/h 335.29 t/h 9.446 MPa 38.0 rpm 0.00 t/h 3.17,333.31 t/h  333.60 t/h 9.508 MPa 57.6 rpm 0.00 t/h 3.28
