timestamp,summary_values,boiler1_values,boiler2_values
2025-07-27 21:00:01,9.504 MPa 9.545 MPa 9.541 MPa 985.3 t/h 982.0 t/h,320.18 t/h 319.39 t/h 9.492 MPa 44.6 rpm 0.00 t/h 3.48,322.91 t/h  320.42 t/h 9.569 MPa 54.3 rpm 0.00 t/h 3.04
2025-07-27 21:00:03,9.504 MPa 9.549 MPa 9.541 MPa 984.1 t/h 982.3 t/h,319.48 t/h 319.41 t/h 9.494 MPa 44.6 rpm 0.00 t/h 3.49,322.21 t/h  320.40 t/h 9.569 MPa 54.2 rpm 0.00 t/h 3.06
2025-07-27 21:00:04,9.504 MPa 9.549 MPa 9.541 MPa 984.2 t/h 982.3 t/h,319.45 t/h 319.43 t/h 9.493 MPa 44.6 rpm 0.00 t/h 3.50,322.19 t/h  320.39 t/h 9.569 MPa 54.2 rpm 0.00 t/h 3.06
2025-07-27 21:00:06,9.504 MPa 9.549 MPa 9.540 MPa 984.5 t/h 982.7 t/h,319.43 t/h 319.43 t/h 9.493 MPa 44.6 rpm 0.00 t/h 3.50,322.17 t/h  320.38 t/h 9.569 MPa 54.2 rpm 0.00 t/h 3.07
2025-07-27 21:00:08,9.504 MPa 9.549 MPa 9.540 MPa 984.6 t/h 982.9 t/h,319.46 t/h 319.54 t/h 9.493 MPa 44.6 rpm 0.00 t/h 3.01,322.20 t/h  320.38 t/h 9.569 MPa 54.2 rpm 0.00 t/h 3.07
2025-07-27 21:00:09,9.504 MPa 9.549 MPa 9.540 MPa 984.8 t/h 983.2 t/h,318.83 t/h 319.75 t/h 9.505 MPa 44.6 rpm 0.00 t/h 3.03,321.56 t/h  320.36 t/h 9.569 MPa 54.1 rpm 0.00 t/h 3.09
2025-07-27 21:00:11,9.504 MPa 9.553 MPa 9.540 MPa 983.7 t/h 983.5 t/h,318.81 t/h 319.80 t/h 9.505 MPa 44.6 rpm 0.00 t/h 3.03,321.54 t/h  320.36 t/h 9.569 MPa 54.1 rpm 0.00 t/h 3.09
2025-07-27 21:00:13,9.504 MPa 9.552 MPa 9.541 MPa 984.1 t/h 984.0 t/h,318.78 t/h 319.88 t/h 9.505 MPa 44.6 rpm 0.00 t/h 3.03,321.52 t/h  320.35 t/h 9.568 MPa 54.1 rpm 0.00 t/h 3.10
2025-07-27 21:00:14,9.504 MPa 9.552 MPa 9.541 MPa 984.1 t/h 984.1 t/h,318.73 t/h 319.92 t/h 9.505 MPa 44.6 rpm 0.00 t/h 3.05,321.47 t/h  320.34 t/h 9.569 MPa 54.1 rpm 0.00 t/h 3.11
2025-07-27 21:00:16,9.504 MPa 9.552 MPa 9.541 MPa 984.2 t/h 984.2 t/h,318.73 t/h 319.85 t/h 9.504 MPa 44.6 rpm 0.00 t/h 3.05,321.46 t/h  320.34 t/h 9.569 MPa 54.1 rpm 0.00 t/h 3.12
2025-07-27 21:00:18,9.504 MPa 9.553 MPa 9.541 MPa 984.4 t/h 984.4 t/h,318.67 t/h 319.73 t/h 9.505 MPa 44.6 rpm 0.00 t/h 3.06,321.40 t/h  320.33 t/h 9.569 MPa 54.1 rpm 0.00 t/h 3.13
2025-07-27 21:00:19,9.504 MPa 9.553 MPa 9.541 MPa 984.3 t/h 984.3 t/h,318.65 t/h 319.69 t/h 9.505 MPa 44.6 rpm 0.00 t/h 3.06,321.35 t/h  320.33 t/h 9.569 MPa 54.0 rpm 0.00 t/h 3.14
2025-07-27 21:00:21,9.504 MPa 9.549 MPa 9.541 MPa 985.1 t/h 984.0 t/h,319.17 t/h 319.62 t/h 9.494 MPa 44.6 rpm 0.00 t/h 3.08,321.90 t/h  320.33 t/h 9.569 MPa 54.0 rpm 0.00 t/h 3.14
2025-07-27 21:00:23,9.504 MPa 9.548 MPa 9.542 MPa 985.0 t/h 983.5 t/h,319.22 t/h 319.38 t/h 9.493 MPa 44.6 rpm 0.00 t/h 3.08,321.96 t/h  320.34 t/h 9.568 MPa 54.0 rpm 0.00 t/h 3.16
2025-07-27 21:00:24,9.504 MPa 9.549 MPa 9.542 MPa 984.8 t/h 983.4 t/h,319.15 t/h 319.30 t/h 9.493 MPa 44.6 rpm 0.00 t/h 3.08,321.86 t/h  320.34 t/h 9.569 MPa 54.0 rpm 0.00 t/h 3.17
2025-07-27 21:00:26,9.504 MPa 9.549 MPa 9.542 MPa 984.6 t/h 983.1 t/h,319.12 t/h 319.16 t/h 9.493 MPa 41.6 rpm 0.00 t/h 3.10,321.86 t/h  320.34 t/h 9.568 MPa 54.0 rpm 0.00 t/h 3.17
2025-07-27 21:00:28,9.504 MPa 9.544 MPa 9.542 MPa 985.7 t/h 982.8 t/h,319.79 t/h 319.06 t/h 9.493 MPa 41.6 rpm 0.00 t/h 3.11,322.52 t/h  320.34 t/h 9.568 MPa 53.8 rpm 0.00 t/h 3.18
2025-07-27 21:00:29,9.504 MPa 9.545 MPa 9.542 MPa 985.2 t/h 982.6 t/h,319.67 t/h 319.02 t/h 9.494 MPa 41.6 rpm 0.00 t/h 3.11,322.39 t/h  320.53 t/h 9.569 MPa 53.8 rpm 0.00 t/h 3.19
2025-07-27 21:00:31,9.504 MPa 9.545 MPa 9.543 MPa 985.0 t/h 982.5 t/h,319.67 t/h 318.97 t/h 9.493 MPa 41.6 rpm 0.00 t/h 3.12,322.41 t/h  320.60 t/h 9.569 MPa 53.8 rpm 0.00 t/h 3.20
2025-07-27 21:00:33,9.504 MPa 9.544 MPa 9.543 MPa 984.8 t/h 982.4 t/h,319.65 t/h 318.93 t/h 9.493 MPa 41.6 rpm 0.00 t/h 3.14,322.39 t/h  320.71 t/h 9.569 MPa 53.7 rpm 0.00 t/h 3.20
2025-07-27 21:00:34,9.504 MPa 9.544 MPa 9.543 MPa 984.7 t/h 982.3 t/h,319.64 t/h 318.91 t/h 9.493 MPa 41.6 rpm 0.00 t/h 3.14,322.34 t/h  320.78 t/h 9.569 MPa 53.7 rpm 0.00 t/h 3.21
2025-07-27 21:00:36,9.504 MPa 9.545 MPa 9.543 MPa 984.7 t/h 982.3 t/h,319.59 t/h 318.70 t/h 9.493 MPa 41.6 rpm 0.00 t/h 3.15,322.33 t/h  320.81 t/h 9.569 MPa 53.6 rpm 0.00 t/h 3.22
