timestamp,summary_values,boiler1_values,boiler2_values
2025-07-25 13:00:00,"9.499 MPa 9.525 MPa 9.518 MPa 996.3 t/h 1,000.4 t/h",326.10 t/h 327.27 t/h 9.481 MPa 40.7 rpm 0.00 t/h 3.28,327.77 t/h  330.73 t/h 9.545 MPa 56.8 rpm 0.00 t/h 3.47
2025-07-25 13:00:01,"9.499 MPa 9.525 MPa 9.518 MPa 996.5 t/h 1,000.5 t/h",326.58 t/h 326.95 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.29,328.26 t/h  330.76 t/h 9.546 MPa 56.8 rpm 0.00 t/h 3.47
2025-07-25 13:00:03,"9.499 MPa 9.522 MPa 9.518 MPa 998.0 t/h 1,000.7 t/h",326.56 t/h 326.74 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.30,328.23 t/h  330.78 t/h 9.547 MPa 56.8 rpm 0.00 t/h 3.48
2025-07-25 13:00:05,"9.499 MPa 9.521 MPa 9.518 MPa 998.0 t/h 1,000.5 t/h",326.62 t/h 326.55 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.30,328.29 t/h  330.79 t/h 9.546 MPa 56.8 rpm 0.00 t/h 3.49
2025-07-25 13:00:06,"9.499 MPa 9.521 MPa 9.518 MPa 998.0 t/h 1,000.3 t/h",326.61 t/h 326.40 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.31,328.24 t/h  330.98 t/h 9.546 MPa 56.8 rpm 0.00 t/h mele)
2025-07-25 13:00:08,9.499 MPa 9.521 MPa 9.518 MPa 997.6 t/h 999.7 t/h,326.56 t/h 325.87 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.33,328.24 t/h  331.05 t/h 9.546 MPa 56.8 rpm 0.00 t/h 3.01
2025-07-25 13:00:10,9.499 MPa 9.521 MPa 9.518 MPa 997.6 t/h 999.7 t/h,326.54 t/h 325.61 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.33,328.21 t/h  331.16 t/h 9.546 MPa 56.8 rpm 0.00 t/h 3.02
2025-07-25 13:00:11,9.499 MPa 9.521 MPa 9.518 MPa 997.6 t/h 999.6 t/h,326.53 t/h 325.51 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.35,328.18 t/h  331.24 t/h 9.546 MPa 56.8 rpm 0.00 t/h 3.02
2025-07-25 13:00:13,9.499 MPa 9.521 MPa 9.519 MPa 998.2 t/h 999.8 t/h,326.57 t/h 325.30 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.36,328.24 t/h  331.10 t/h 9.545 MPa 56.8 rpm 0.00 t/h 3.04
2025-07-25 13:00:15,9.499 MPa 9.522 MPa 9.519 MPa 998.2 t/h 999.9 t/h,326.46 t/h 325.25 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.36,328.14 t/h  331.06 t/h 9.546 MPa 56.8 rpm 0.00 t/h 3.04
2025-07-25 13:00:16,9.499 MPa 9.522 MPa 9.519 MPa 998.2 t/h 999.9 t/h,326.46 t/h 325.25 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.36,328.11 t/h  331.01 t/h 9.546 MPa 56.8 rpm 0.00 t/h 3.05
2025-07-25 13:00:18,"9.499 MPa 9.522 MPa 9.519 MPa 998.4 t/h 1,000.0 t/h",327.13 t/h 325.12 t/h 9.470 MPa 40.7 rpm 0.00 t/h 3.38,328.81 t/h  330.93 t/h 9.546 MPa 56.8 rpm 0.00 t/h 3.07
