timestamp,summary_values,boiler1_values,boiler2_values
2025-07-28 17:00:00,9.521 MPa 9.513 MPa 9.525 MPa 992.7 t/h 988.4 t/h,323.28 t/h 322.48 t/h 9.458 MPa 46.0 rpm 0.00 t/h 3.08,321.72 t/h  318.22 t/h 9.521 MPa 46.2 rpm 0.00 t/h 3.19
2025-07-28 17:00:02,9.521 MPa 9.508 MPa 9.524 MPa 994.4 t/h 988.6 t/h,323.94 t/h 322.50 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.08,322.40 t/h  318.05 t/h 9.509 MPa 46.1 rpm 0.00 t/h 3.20
2025-07-28 17:00:03,9.521 MPa 9.505 MPa 9.524 MPa 995.7 t/h 988.7 t/h,324.51 t/h 322.62 t/h 9.446 MPa 46.0 rpm 0.00 t/h 3.09,322.99 t/h  317.84 t/h 9.508 MPa 46.1 rpm 0.00 t/h 3.22
2025-07-28 17:00:05,9.521 MPa 9.505 MPa 9.524 MPa 995.8 t/h 988.7 t/h,324.53 t/h 322.71 t/h 9.446 MPa 46.0 rpm 0.00 t/h 3.09,323.01 t/h  317.77 t/h 9.508 MPa 46.1 rpm 0.00 t/h 3.22
2025-07-28 17:00:07,9.521 MPa 9.505 MPa 9.524 MPa 995.8 t/h 988.8 t/h,324.51 t/h 322.79 t/h 9.446 MPa 46.0 rpm 0.00 t/h 3.09,323.64 t/h  317.33 t/h 9.508 MPa 46.1 rpm 0.00 t/h 3.24
2025-07-28 17:00:09,9.521 MPa 9.501 MPa 9.523 MPa 997.4 t/h 988.8 t/h,325.14 t/h 322.93 t/h 9.446 MPa 46.0 rpm 0.00 t/h 3.12,323.65 t/h  317.25 t/h 9.508 MPa 46.1 rpm 0.00 t/h 3.25
2025-07-28 17:00:10,9.521 MPa 9.501 MPa 9.522 MPa 997.3 t/h 988.7 t/h,325.13 t/h 322.97 t/h 9.446 MPa 46.0 rpm 0.00 t/h 3.13,323.63 t/h  317.18 t/h 9.508 MPa 46.2 rpm 0.00 t/h 3.25
2025-07-28 17:00:12,9.521 MPa 9.501 MPa 9.522 MPa 997.1 t/h 988.6 t/h,325.13 t/h 323.07 t/h 9.447 MPa 46.0 rpm 0.00 t/h 3.14,323.63 t/h  317.07 t/h 9.508 MPa 46.2 rpm 0.00 t/h 3.27
2025-07-28 17:00:14,9.521 MPa 9.501 MPa 9.521 MPa 997.3 t/h 988.7 t/h,325.13 t/h 323.09 t/h 9.447 MPa 46.0 rpm 0.00 t/h 3.15,323.63 t/h  317.13 t/h 9.508 MPa 46.2 rpm 0.00 t/h 3.27
2025-07-28 17:00:15,9.521 MPa 9.501 MPa 9.521 MPa 997.4 t/h 988.9 t/h,325.13 t/h 323.10 t/h 9.447 MPa 46.0 rpm 0.00 t/h 3.15,323.63 t/h  317.17 t/h 9.509 MPa 46.2 rpm 0.00 t/h 3.28
2025-07-28 17:00:17,9.521 MPa 9.501 MPa 9.521 MPa 997.4 t/h 988.9 t/h,324.64 t/h 323.12 t/h 9.446 MPa 46.0 rpm 0.00 t/h 3.16,323.13 t/h  317.72 t/h 9.509 MPa 46.2 rpm 0.00 t/h 3.29
2025-07-28 17:00:19,9.521 MPa 9.505 MPa 9.520 MPa 996.3 t/h 989.4 t/h,324.64 t/h 323.12 t/h 9.446 MPa 46.0 rpm 0.00 t/h 3.16,323.13 t/h  317.72 t/h 9.509 MPa 46.2 rpm 0.00 t/h 3.29
2025-07-28 17:00:21,9.521 MPa 9.505 MPa 9.520 MPa 996.0 t/h 989.4 t/h,324.61 t/h 323.14 t/h 9.446 MPa 46.0 rpm 0.00 t/h 3.18,323.11 t/h  318.09 t/h 9.521 MPa 46.1 rpm 0.00 t/h 3.31
2025-07-28 17:00:22,9.521 MPa 9.509 MPa 9.520 MPa 993.7 t/h 989.1 t/h,324.03 t/h 323.42 t/h 9.458 MPa 46.0 rpm 0.00 t/h 3.19,322.49 t/h  318.44 t/h 9.521 MPa 46.2 rpm 0.00 t/h 3.32
2025-07-28 17:00:24,9.521 MPa 9.509 MPa 9.519 MPa 993.5 t/h 989.0 t/h,324.03 t/h 323.48 t/h 9.458 MPa 46.0 rpm 0.00 t/h 3.19,322.49 t/h  318.58 t/h 9.521 MPa 46.2 rpm 0.00 t/h 3.32
2025-07-28 17:00:26,9.521 MPa 9.509 MPa 9.519 MPa 993.3 t/h 989.1 t/h,324.02 t/h 323.57 t/h 9.458 MPa 46.0 rpm 0.00 t/h 3.20,322.49 t/h  318.95 t/h 9.521 MPa 46.1 rpm 0.00 t/h 3.33
2025-07-28 17:00:28,9.521 MPa 9.509 MPa 9.519 MPa 992.7 t/h 989.0 t/h,324.04 t/h 323.64 t/h 9.458 MPa 46.0 rpm 0.00 t/h 3.22,322.50 t/h  319.23 t/h 9.521 MPa 46.1 rpm 0.00 t/h 3.34
2025-07-28 17:00:29,9.521 MPa 9.509 MPa 9.519 MPa 992.7 t/h 989.0 t/h,324.04 t/h 323.64 t/h 9.458 MPa 46.0 rpm 0.00 t/h 3.22,322.50 t/h  319.23 t/h 9.521 MPa 46.1 rpm 0.00 t/h 3.34
