timestamp,summary_values,boiler1_values,boiler2_values
2025-07-24 09:00:00,9.558 MPa 9.552 MPa 9.562 MPa 978.2 t/h 973.3 t/h,317.33 t/h  315.28 t/h 9.505 MPa 45.7 rpm 0.00 t/h 3.10,320.04 t/h  317.40 t/h 9.569 MPa 54.3 rpm 0.00 t/h 3.15
2025-07-24 09:00:03,9.558 MPa 9.553 MPa 9.561 MPa 977.9 t/h 973.1 t/h,317.27 t/h  315.06 t/h 9.505 MPa 45.7 rpm 0.00 t/h 3.11,320.04 t/h  317.40 t/h 9.569 MPa 54.3 rpm 0.00 t/h 3.15
2025-07-24 09:00:05,9.558 MPa 9.553 MPa 9.561 MPa 978.1 t/h 973.2 t/h,316.62 t/h  314.80 t/h 9.505 MPa 45.7 rpm 0.00 t/h 3.11,319.39 t/h  317.64 t/h 9.582 MPa 54.3 rpm 0.00 t/h 3.15
2025-07-24 09:00:07,9.558 MPa 9.557 MPa 9.561 MPa 976.8 t/h 973.4 t/h,316.64 t/h  314.43 t/h 9.506 MPa 45.7 rpm 0.00 t/h 3.13,319.41 t/h  318.18 t/h 9.580 MPa 54.3 rpm 0.00 t/h 3.16
2025-07-24 09:00:09,9.558 MPa 9.557 MPa 9.561 MPa 977.2 t/h 973.8 t/h,316.64 t/h  314.35 t/h 9.506 MPa 45.7 rpm 0.00 t/h 3.14,319.42 t/h  318.33 t/h 9.580 MPa 54.3 rpm 0.00 t/h 3.18
2025-07-24 09:00:11,9.558 MPa 9.557 MPa 9.561 MPa 977.1 t/h 973.8 t/h,316.64 t/h  314.04 t/h 9.505 MPa 45.7 rpm 0.00 t/h 3.15,319.41 t/h  318.74 t/h 9.582 MPa 54.3 rpm 0.00 t/h 3.18
2025-07-24 09:00:13,9.558 MPa 9.557 MPa 9.561 MPa 977.1 t/h 973.8 t/h,316.62 t/h  313.83 t/h 9.506 MPa 45.7 rpm 0.00 t/h 3.16,319.40 t/h  319.13 t/h 9.581 MPa 54.3 rpm 0.00 t/h 3.19
2025-07-24 09:00:16,9.558 MPa 9.561 MPa 9.561 MPa 975.9 t/h 974.1 t/h,316.02 t/h  313.51 t/h 9.505 MPa 45.7 rpm 0.00 t/h 3.17,318.79 t/h  319.61 t/h 9.581 MPa 54.3 rpm 0.00 t/h 3.20
2025-07-24 09:00:18,9.558 MPa 9.561 MPa 9.561 MPa 975.9 t/h 974.2 t/h,316.02 t/h  313.27 t/h 9.505 MPa 45.7 rpm 0.00 t/h 3.19,318.80 t/h  319.82 t/h 9.581 MPa 54.3 rpm 0.00 t/h 3.21
2025-07-24 09:00:20,9.558 MPa 9.561 MPa 9.561 MPa 976.0 t/h 974.3 t/h,316.01 t/h  313.10 t/h 9.505 MPa 45.7 rpm 0.00 t/h 3.19,318.78 t/h  319.96 t/h 9.581 MPa 54.3 rpm 0.00 t/h 3.23
