timestamp,summary_values,boiler1_values,boiler2_values
2025-07-28 19:00:00,"9.521 MPa 9.512 MPa 9.514 MPa 1,007.2 t/h 1,008.1 t/h",334.14 t/h 336.47 t/h 9.469 MPa 46.0 rpm 0.00 t/h 3.10,334.12 t/h  332.79 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.42
2025-07-28 19:00:01,"9.521 MPa 9.513 MPa 9.514 MPa 1,007.2 t/h 1,008.4 t/h",334.09 t/h 336.50 t/h 9.469 MPa 46.0 rpm 0.00 t/h 3.10,334.07 t/h  332.87 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.42
2025-07-28 19:00:03,"9.521 MPa 9.513 MPa 9.514 MPa 1,007.2 t/h 1,008.4 t/h",334.11 t/h 336.36 t/h 9.469 MPa 46.0 rpm 0.00 t/h 3.11,334.03 t/h  333.05 t/h 9.534 MPa 46.1 rpm 0.00 t/h 3.44
2025-07-28 19:00:05,"9.521 MPa 9.513 MPa 9.513 MPa 1,007.4 t/h 1,008.6 t/h",334.06 t/h 336.26 t/h 9.470 MPa 46.0 rpm 0.00 t/h 3.13,334.04 t/h  332.98 t/h 9.534 MPa 46.1 rpm 0.00 t/h 3.45
2025-07-28 19:00:07,"9.521 MPa 9.512 MPa 9.513 MPa 1,007.8 t/h 1,008.5 t/h",334.15 t/h 336.11 t/h 9.470 MPa 46.0 rpm 0.00 t/h 3.13,334.13 t/h  332.92 t/h 9.532 MPa 46.1 rpm 0.00 t/h 3.45
2025-07-28 19:00:08,"9.521 MPa 9.513 MPa 9.513 MPa 1,008.2 t/h 1,008.8 t/h",334.11 t/h 335.81 t/h 9.470 MPa 46.0 rpm 0.00 t/h 3.14,334.09 t/h  332.80 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.46
2025-07-28 19:00:10,"9.521 MPa 9.512 MPa 9.513 MPa 1,008.8 t/h 1,009.0 t/h",334.17 t/h 335.74 t/h 9.469 MPa 46.0 rpm 0.00 t/h 3.14,334.15 t/h  332.78 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.47
2025-07-28 19:00:12,"9.521 MPa 9.512 MPa 9.513 MPa 1,009.0 t/h 1,009.0 t/h",334.17 t/h 335.58 t/h 9.469 MPa 46.0 rpm 0.00 t/h 3.16,334.15 t/h  332.76 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.47
2025-07-28 19:00:13,"9.521 MPa 9.513 MPa 9.513 MPa 1,009.4 t/h 1,009.2 t/h",334.13 t/h 335.14 t/h 9.470 MPa 46.0 rpm 0.00 t/h 3.17,334.11 t/h  332.61 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.49
2025-07-28 19:00:15,"9.521 MPa 9.509 MPa 9.513 MPa 1,010.9 t/h 1,009.0 t/h",334.71 t/h 334.99 t/h 9.458 MPa 46.0 rpm 0.00 t/h 3.17,334.71 t/h  332.51 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.50
2025-07-28 19:00:17,"9.521 MPa 9.509 MPa 9.513 MPa 1,011.1 t/h 1,008.9 t/h",334.75 t/h 334.85 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.18,334.74 t/h  332.31 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.01
2025-07-28 19:00:19,"9.521 MPa 9.509 MPa 9.513 MPa 1,011.4 t/h 1,008.7 t/h",334.74 t/h 334.47 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.19,334.74 t/h  332.27 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.01
2025-07-28 19:00:20,"9.521 MPa 9.508 MPa 9.513 MPa 1,011.5 t/h 1,008.5 t/h",334.78 t/h 334.33 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.19,334.78 t/h  332.22 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.01
2025-07-28 19:00:22,"9.521 MPa 9.508 MPa 9.513 MPa 1,011.6 t/h 1,008.4 t/h",334.78 t/h 334.20 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.20,334.75 t/h  332.14 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.03
2025-07-28 19:00:24,"9.521 MPa 9.509 MPa 9.512 MPa 1,012.0 t/h 1,008.3 t/h",334.78 t/h 333.67 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.22,334.78 t/h  332.12 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.04
2025-07-28 19:00:26,"9.521 MPa 9.508 MPa 9.512 MPa 1,012.3 t/h 1,008.3 t/h",334.79 t/h 333.55 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.22,334.80 t/h  332.10 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.04
2025-07-28 19:00:27,"9.521 MPa 9.504 MPa 9.512 MPa 1,013.7 t/h 1,008.4 t/h",335.43 t/h 333.10 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.24,335.46 t/h  332.07 t/h 9.521 MPa 46.1 rpm 0.00 t/h 3.05
2025-07-28 19:00:29,"9.521 MPa 9.504 MPa 9.512 MPa 1,014.0 t/h 1,008.1 t/h",335.43 t/h 332.97 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.24,335.45 t/h  332.06 t/h 9.520 MPa 46.1 rpm 0.00 t/h 3.07
2025-07-28 19:00:31,"9.521 MPa 9.504 MPa 9.512 MPa 1,014.2 t/h 1,008.2 t/h",335.45 t/h 332.86 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.25,335.48 t/h  332.05 t/h 9.520 MPa 46.1 rpm 0.00 t/h 3.07
2025-07-28 19:00:32,"9.521 MPa 9.504 MPa 9.511 MPa 1,014.4 t/h 1,008.3 t/h",335.44 t/h 332.63 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.27,335.47 t/h  332.05 t/h 9.521 MPa 46.1 rpm 0.00 t/h 3.08
2025-07-28 19:00:34,"9.521 MPa 9.504 MPa 9.511 MPa 1,014.3 t/h 1,007.9 t/h",335.47 t/h 332.54 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.27,335.50 t/h  332.05 t/h 9.520 MPa 46.1 rpm 0.00 t/h 3.09
2025-07-28 19:00:36,"9.521 MPa 9.504 MPa 9.511 MPa 1,014.3 t/h 1,007.9 t/h",335.48 t/h 332.50 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.28,335.49 t/h  332.04 t/h 9.520 MPa 46.1 rpm 0.00 t/h 3.10
2025-07-28 19:00:38,"9.521 MPa 9.504 MPa 9.510 MPa 1,014.3 t/h 1,007.7 t/h",335.50 t/h 332.43 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.30,335.53 t/h  332.03 t/h 9.520 MPa 46.1 rpm 0.00 t/h 3.11
2025-07-28 19:00:39,"9.521 MPa 9.504 MPa 9.510 MPa 1,014.3 t/h 1,007.7 t/h",335.52 t/h 332.41 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.30,335.55 t/h  332.03 t/h 9.520 MPa 46.1 rpm 0.00 t/h 3.11
2025-07-28 19:00:41,"9.521 MPa 9.504 MPa 9.510 MPa 1,014.2 t/h 1,007.6 t/h",335.56 t/h 332.38 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.31,335.59 t/h  332.21 t/h 9.520 MPa 46.1 rpm 0.00 t/h 3.12
2025-07-28 19:00:43,"9.521 MPa 9.505 MPa 9.510 MPa 1,013.5 t/h 1,007.2 t/h",335.49 t/h 332.36 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.31,335.52 t/h  332.34 t/h 9.520 MPa 46.1 rpm 0.00 t/h 3.14
2025-07-28 19:00:45,"9.521 MPa 9.504 MPa 9.510 MPa 1,013.3 t/h 1,006.9 t/h",335.54 t/h 332.36 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.31,335.57 t/h  332.39 t/h 9.520 MPa 46.1 rpm 0.00 t/h 3.14
2025-07-28 19:00:46,"9.521 MPa 9.504 MPa 9.510 MPa 1,013.0 t/h 1,006.7 t/h",335.53 t/h 332.35 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.33,335.56 t/h  332.57 t/h 9.520 MPa 46.1 rpm 0.00 t/h 3.15
2025-07-28 19:00:48,"9.521 MPa 9.504 MPa 9.510 MPa 1,012.4 t/h 1,006.4 t/h",335.53 t/h 332.34 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.34,335.56 t/h  332.79 t/h 9.521 MPa 46.1 rpm 0.00 t/h 3.16
2025-07-28 19:00:50,"9.521 MPa 9.504 MPa 9.510 MPa 1,012.3 t/h 1,006.4 t/h",335.54 t/h 332.34 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.35,334.95 t/h  332.94 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.17
2025-07-28 19:00:51,"9.521 MPa 9.508 MPa 9.509 MPa 1,011.1 t/h 1,006.7 t/h",334.98 t/h 332.34 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.36,334.99 t/h  333.23 t/h 9.532 MPa 46.1 rpm 0.00 t/h 3.18
2025-07-28 19:00:53,"9.521 MPa 9.509 MPa 9.509 MPa 1,011.1 t/h 1,006.9 t/h",334.95 t/h 332.35 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.36,334.96 t/h  333.34 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.18
2025-07-28 19:00:55,"9.521 MPa 9.508 MPa 9.509 MPa 1,011.1 t/h 1,007.0 t/h",334.97 t/h 332.45 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.37,334.99 t/h  333.50 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.19
2025-07-28 19:00:56,"9.521 MPa 9.509 MPa 9.509 MPa 1,011.1 t/h 1,007.6 t/h",334.96 t/h 332.66 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.38,334.96 t/h  333.71 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.20
2025-07-28 19:00:58,"9.521 MPa 9.509 MPa 9.509 MPa 1,011.2 t/h 1,007.8 t/h",334.97 t/h 332.71 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.38,334.98 t/h  333.84 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.21
2025-07-28 19:01:00,"9.521 MPa 9.509 MPa 9.509 MPa 1,011.1 t/h 1,007.8 t/h",334.95 t/h 332.75 t/h 9.457 MPa 46.0 rpm 0.00 t/h 3.39,334.97 t/h  334.04 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.22
2025-07-28 19:01:02,"9.521 MPa 9.513 MPa 9.509 MPa 1,009.9 t/h 1,008.2 t/h",334.36 t/h 332.84 t/h 9.470 MPa 46.0 rpm 0.00 t/h 3.41,334.34 t/h  334.17 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.23
2025-07-28 19:01:03,"9.521 MPa 9.513 MPa 9.509 MPa 1,009.9 t/h 1,008.2 t/h",334.36 t/h 332.84 t/h 9.470 MPa 46.0 rpm 0.00 t/h 3.41,334.34 t/h  334.17 t/h 9.533 MPa 46.1 rpm 0.00 t/h 3.23
2025-07-28 19:01:05,"9.521 MPa 9.513 MPa 9.509 MPa 1,009.8 t/h 1,008.2 t/h",334.35 t/h 332.86 t/h 9.470 MPa 46.0 rpm 0.00 t/h 3.42,334.40 t/h  334.28 t/h 9.532 MPa 46.1 rpm 0.00 t/h 3.24
2025-07-28 19:01:07,"9.521 MPa 9.512 MPa 9.509 MPa 1,010.5 t/h 1,008.9 t/h",334.42 t/h 333.09 t/h 9.470 MPa 46.0 rpm 0.00 t/h 3.44,334.41 t/h  334.16 t/h 9.532 MPa 46.1 rpm 0.00 t/h 3.25
2025-07-28 19:01:08,"9.521 MPa 9.512 MPa 9.509 MPa 1,010.6 t/h 1,009.0 t/h",334.44 t/h 333.17 t/h 9.470 MPa 46.0 rpm 0.00 t/h 3.44,334.43 t/h  334.11 t/h 9.532 MPa 46.1 rpm 0.00 t/h 3.26
2025-07-28 19:01:10,"9.521 MPa 9.512 MPa 9.509 MPa 1,010.6 t/h 1,009.1 t/h",333.79 t/h 333.29 t/h 9.470 MPa 46.0 rpm 0.00 t/h 3.44,333.76 t/h  334.22 t/h 9.532 MPa 46.1 rpm 0.00 t/h 3.26
