timestamp,summary_values,boiler1_values,boiler2_values
2025-07-24 02:00:01,"9.533 MPa 9.532 MPa 9.545 MPa ,000.7 t/h 995.8 t/h",331.11 t/h  329.29 t/h 9.494 MPa 38.4 rpm 0.00 t/h 3.31,332.18 t/h  329.13 t/h 9.556 MPa 49.9 rpm 0.00 t/h 3.29
2025-07-24 02:00:03,"9.533 MPa 9.532 MPa 9.544 MPa ,001.0 t/h 996.1 t/h",331.12 t/h  329.29 t/h 9.493 MPa 38.4 rpm 0.00 t/h 3.33,332.19 t/h  329.20 t/h 9.556 MPa 49.9 rpm 0.00 t/h 3.29
2025-07-24 02:00:05,"9.533 MPa 9.533 MPa 9.544 MPa ,001.2 t/h 996.7 t/h",331.10 t/h  329.38 t/h 9.494 MPa 38.4 rpm 0.00 t/h 3.34,332.17 t/h  329.35 t/h 9.556 MPa 49.9 rpm 0.00 t/h 3.30
2025-07-24 02:00:07,"9.533 MPa 9.533 MPa 9.544 MPa ,001.2 t/h 996.8 t/h",331.07 t/h  329.43 t/h 9.494 MPa 38.4 rpm 0.00 t/h 3.35,332.15 t/h  329.51 t/h 9.556 MPa 49.9 rpm 0.00 t/h 3.31
2025-07-24 02:00:10,"9.533 MPa 9.533 MPa 9.544 MPa ,001.0 t/h 996.9 t/h",331.06 t/h  329.39 t/h 9.495 MPa 38.4 rpm 0.00 t/h 3.36,332.13 t/h  329.88 t/h 9.556 MPa 49.9 rpm 0.00 t/h 3.33
2025-07-24 02:00:12,"9.533 MPa 9.533 MPa 9.544 MPa ,000.9 t/h 997.1 t/h",331.08 t/h  329.36 t/h 9.494 MPa 38.4 rpm 0.00 t/h 3.37,332.15 t/h  330.16 t/h 9.557 MPa 49.9 rpm 0.00 t/h 3.34
2025-07-24 02:00:14,9.533 MPa 9.537 MPa 9.544 MPa 999.1 t/h 997.0 t/h,330.44 t/h  329.33 t/h 9.494 MPa 38.4 rpm 0.00 t/h 3.39,331.51 t/h  330.46 t/h 9.569 MPa 49.9 rpm 0.00 t/h 3.35
2025-07-24 02:00:16,9.533 MPa 9.537 MPa 9.544 MPa 998.8 t/h 996.8 t/h,330.46 t/h  329.22 t/h 9.493 MPa 38.4 rpm 0.00 t/h 3.39,331.54 t/h  330.75 t/h 9.569 MPa 49.9 rpm 0.00 t/h 3.35
2025-07-24 02:00:19,9.533 MPa 9.537 MPa 9.544 MPa 998.6 t/h 996.6 t/h,330.43 t/h  329.05 t/h 9.494 MPa 38.4 rpm 0.00 t/h 3.41,331.51 t/h  330.95 t/h 9.569 MPa 49.9 rpm 0.00 t/h 3.36
2025-07-24 02:00:21,9.533 MPa 9.537 MPa 9.544 MPa 998.5 t/h 996.6 t/h,330.52 t/h  328.89 t/h 9.493 MPa 38.4 rpm 0.00 t/h 3.42,331.59 t/h  331.39 t/h 9.568 MPa 49.9 rpm 0.00 t/h 3.38
2025-07-24 02:00:23,9.533 MPa 9.537 MPa 9.543 MPa 998.3 t/h 996.6 t/h,330.44 t/h  328.74 t/h 9.494 MPa 38.4 rpm 0.00 t/h 3.42,331.53 t/h  331.65 t/h 9.568 MPa 49.9 rpm 0.00 t/h 3.39
